INCIDENT,I DESCRIPTION,CLASSIFICATION,DAY,MONTH,YEAR,Full date,TIME_OF_INCIDENT,HOUR RANGE,SUBURB,TOWN,VEHICLES__total,WHAT_WAS_BURNING,DESCRIPTION,ACTIONS_OF,EQUIPMENT_,FPA_SUSPEC,DETAILS_OF,PUMPING_TI,DISTRICT,STATIONS,SUBURB_GEO,PRED_DWELL,AMHHI,PRED_LSMGR,PRED_TENURE,PRED_LANGUAGE,PRED_RACE,PRED_AGE,PRED_MARITAL STATUS,PRED_EDUCATION,POPULATION,SUBURB_AREA,STREET,LONGITUDE,LATITUDE
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",2,December,2011,12/02/2011 12:00:00 AM,0:02,0:00 - 0:30,Ottery,South Peninsula,0:31,Rubbish,Rubbish Fire,Extinguished With 1 Fog Jet,1 X Hose Reel,Open Flames,Passerby Dropping A Light Ignitting Rubbish,0:15,West,Ottery,Ferness,BrHse_SepStand,22556,LSM 12,Owned Not Paid Off,English,Coloured,Age 15 - 19,Unmarried,Secondary,2704,123000,Ottery Road,18.501816999999999,-34.013665000000003
Residential,Flat,"Fire, manually extinguished",15,December,2011,12/15/2011 12:00:00 AM,0:02,0:00 - 0:30,Rosebank,Cape Town,03:00|03:02|02:49|03:48|00:50|00:02,"Flat On 2nd Floor Measuring 25m X 20m;entire Roof , Furniture And Personal Affects",Average Structural Fire,Extinguished Fire With Two Jets From E08 And One Monitor From H01 Backed Up By Street Hydrant And Boosted By E21,"Standpipe, Standpipe Key And Bar, 15 Lenghts 65mm Hose, 2 Lenghts 45mm Hose, 2 Akron Branches, 1 Awg Branch, Tnt Tool, 3 Torches, T.I.C",Undetermined,Electrical Fault As Per Anthony Young Fire Invetigators,1:30,West,"Roeland Street, Wynberg, Milnerton, Ottery",Rosebank,Flats,22187,LSM 12,Rented,NA,Black African,Age 20 - 24,Unmarried,NA,5238,110000,Guildford Road,18.473355999999999,-33.954003
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",29,May,2012,05/29/2012 12:00:00 AM,0:02,0:00 - 0:30,Westridge (mpn),Cape Town,00:40|00:29,Tyres,,Extinguished Fire With One Fog Jet From W02,1xhosereel,Open Flames,Passer-by Dropping A Light,0:10,East,Mitchells Plain,Vredehoek,Flats,34379,LSM 14,Rented,English,White,Age 25 - 29,Unmarried,Tertiary Plus,3753,0.94,Bontebok Crescent,18.42079,-33.937893000000003
Residential,Informal,"Fire, manually extinguished",6,November,2012,11/06/2012 12:00:00 AM,0:02,0:00 - 0:30,Khayelitsha,Tygerberg,00:50|00:52|01:12|01:02,"Bed, Bedding & Personal Effects Etc.",Minor Structural Fire,Extinguished Fire With One Jet From E26a,"1x65mm Hose, 2x45mm Hose, 1xbranch",Open Flames,Candle Fell Over,0:35,East,"Lansdowne, Khayelitsha, Belhar",Bongani TR Section,Informal,1933,LSM 01,Occupied,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,8799,696000,Mew Way,18.653110000000002,-34.034019000000001
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",1,January,2013,01/01/2013 12:00:00 AM,0:02,0:00 - 0:30,Woodstock,Cape Town,0:17,Vegetation,Minor Vegetation Fire,Extinguished: With One Fog Jet From E06 Motor Pump,1 X Hosereel,Open Flames,Passer-by Dropping A Light,0:10,West,Roeland Street,Salt River,BrHse_SepStand,13325,LSM 08,Rented,English,Coloured,Age 20 - 24,Unmarried,Secondary,6941,275000,N 2,18.469159999999999,-33.928573
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",31,March,2013,03/31/2013 12:00:00 AM,0:02,0:00 - 0:30,Blackheath,Oostenberg,00:32|00:32,Area Of Vegetation Alight,Minor Vegetation Fire,Extinguished Fire With One Fog Jet From So3(500l) Of Water,One Hosereel,Open Flames,Passerby Dropped Alight,0:11,East,Kuilsrivier,Wimbledon Estate 1,Informal,1927,LSM 01,Owned Paid In Full,IsiXhosa,Black African,Age 0 - 4,Unmarried,Secondary,4099,146000,Stellenbosch Arterial,18.695533000000001,-33.951616999999999
Residential,Formal,"Fire, manually extinguished",8,April,2013,04/08/2013 12:00:00 AM,0:02,0:00 - 0:30,Ravensmead,Tygerberg,00:28|00:27|00:28,Owner Left Cardboard Box In Oven Before Using Oven,Minor Vegetation Fire,No Service Rendered,Nil,Heating,Cardboard Box Left In Oven Igniting After Oven Switched On,,North,"Bellville, Belhar",Ravensmead,BrHse_SepStand,10216,LSM 07,Owned Paid In Full,Afrikaans,Coloured,Age 20 - 24,Unmarried,Secondary,19340,194000,Hennie Fortuin Crescent,18.601561,-33.925876000000002
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",22,December,2013,12/22/2013 12:00:00 AM,0:02,0:00 - 0:30,Schaap Kraal,South Peninsula,0:19,Vegetation And Rubbish,Minor Vegetation Fire,Extinguished Using One (1) Fog Jet From E11 Motor Pump.,One (1) Hose Reel,Open Flames,Passer-by Dropping A Light,0:05,West,Ottery,Philippi SP2,BrHse_SepStand,6581,LSM 06,Occupied,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,6985,3422000,Boundary Avenue ( As Far As Olieboom ),18.557728000000001,-34.051896999999997
Transport,Car/Motorcycle,"Fire, manually extinguished",11,May,2014,05/11/2014 12:00:00 AM,0:02,0:00 - 0:30,Philippi,Cape Town,0:35,Motor Vehicle,Vehicle Fire,Extinguished Fire With Two Fog Jets,2xhosereels,Open Flames,Undetermined,0:15,East,Mitchells Plain,Philippi SP2,BrHse_SepStand,6581,LSM 06,Occupied,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,6985,3422000,Weltevreden Road,18.530878999999999,-34.004941000000002
Transport,Car/Motorcycle,"Fire, manually extinguished",5,September,2014,09/05/2014 12:00:00 AM,0:02,0:00 - 0:30,Schaap Kraal,Cape Town,0:42,Entire Motor Vehicle,Vehicle Fire,Extinguished With 1 Fog Jet From E52 (1200),One Hosereel,Undetermined,Unknown (see Remarks),0:10,East,Mitchells Plain,Philippi SP2,BrHse_SepStand,6581,LSM 06,Occupied,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,6985,3422000,Varkens Vlei Road ( From Weltevreden To Olieboom ),18.557728000000001,-34.051896999999997
Transport,Car/Motorcycle,"Fire, manually extinguished",9,October,2014,10/09/2014 12:00:00 AM,0:02,0:00 - 0:30,Khayelitsha,Tygerberg,0:38,Motor Vehicle,Vehicle Fire,Extinguished With One Fog Jet From E26a Motor Pump,1 X Hose Reel,Undetermined,Unknown,0:10,East,Lansdowne,Bongani TR Section,Informal,1933,LSM 01,Occupied,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,8799,696000,Old Faure Road,18.650269999999999,-34.032004999999998
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",28,October,2014,10/28/2014 12:00:00 AM,0:02,0:00 - 0:30,Hazendal,Cape Town,00:00|01:07|00:20|00:19|00:58,Rubbish,Rubbish Fire,Extinguished With Two Fog Jets From Whiskey 18 Alpha Water Tender.,2 X Hosereel.,Open Flames,Passer-by Dropped A Light.,1:00,North,"Epping, Roeland Street",Hazendal(Athlone),BrHse_SepStand,8097,LSM 06,Owned Paid In Full,English,Coloured,Age 0 - 4,Unmarried,Secondary,5272,0.77,412 Herbrand Street,18.504300000000001,-33.959192999999999
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",22,February,2015,02/22/2015 12:00:00 AM,0:02,0:00 - 0:30,Noordhoek,South Peninsula,1:28,Bush And Grass,Minor Vegetation Fire,Exstinguished With One Fog Jet From E49a[3000litres],One Hose Reel,Other,Passer-by Dropping A Light,0:25,West,Fish Hoek,Noordhoek SP,BrHse_SepStand,31964,LSM 13,Owned Paid In Full,English,White,Age 5 - 9,Married,Secondary,196,874000,Chapman's Peak Drive (m6),18.387853,-34.088594000000001
Other,Rubbish/Grass/Bush,,16,March,2015,03/16/2015 12:00:00 AM,0:02,0:00 - 0:30,Ottery,South Peninsula,0:23,,,,,,,,,,Ottery,BrHse_SepStand,24787,LSM 12,Owned Not Paid Off,English,Coloured,Age 45 - 49,Unmarried,Secondary,5372,199000,Woodlands Road,18.514446,-34.015022000000002
Residential,Formal,"Fire, manually extinguished",29,April,2015,04/29/2015 12:00:00 AM,0:02,0:00 - 0:30,Pelikan Park,South Peninsula,01:06|01:05|01:11|01:15|01:05,"Bed, Bedding And Personal Effects, Etc.",Average Structural Fire,Extinguished With Two Jets From E11 Motor Pump,"2 X 65mm Hose, 2 X 45mm Hose And 2 X Acron Branches",Electrical Faults,Sparks From Short Circuit In Electrical Wiring Igniting Insulation,0:20,West,"Ottery, Wynberg, Guguletu",Pelikan Park,BrHse_SepStand,12609,LSM 08,Owned Not Paid Off,English,Coloured,Age 0 - 4,Unmarried,Secondary,12012,1508000,Turkey Road,18.524538,-34.043436
Other,Miscellaneous,"Fire, automatically extinguished",13,June,2015,06/13/2015 12:00:00 AM,0:02,0:00 - 0:30,Elsies Rivier,Elsies River,1:48,Electrical Wires.,Miscellaneous,Stood By Untill The Arrival Of Eskom.,Nil,Electrical Faults,Short Circuite On Overhead Wires.,,East,Belhar,Connaught,BrHse_SepStand,5661,LSM 06,Rented,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,7600,0.52,Clare Street,18.587904000000002,-33.932277999999997
Transport,Car/Motorcycle,"Fire, manually extinguished",26,June,2015,06/26/2015 12:00:00 AM,0:02,0:00 - 0:30,Khayelitsha,Tygerberg,00:00|00:17,Motor Vehicle,Vehicle Fire,Fire Was Extinguished With 1 X Fogjet From E18.,Hosreel,Arson,Vehicle Was Possibly Set A Light On Purpose,0:06,East,Khayelitsha,Bongani TR Section,Informal,1933,LSM 01,Occupied,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,8799,696000,Nanana Street,18.650269999999999,-34.032004999999998
Residential,Informal,"Fire, manually extinguished",8,September,2015,09/08/2015 12:00:00 AM,0:02,0:00 - 0:30,Browns Farm,Cape Town,00:34|00:32|00:25|00:25,"Bed, Bedding And Personal Effects, Etc.",Minor Structural Fire,Extinguished Fire With 1 X Fog Jet E53a Motor Pump.(2400 Litres),1 X Hose Reel.,Open Flames,Lighted Candle Overturned And Igniting Combustible Material.,0:20,East,"Guguletu, Mitchells Plain",Browns Farms,BrHse_SepStand,2914,LSM 03,Owned Paid In Full,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,74768,339000,Nkukhwini Road,18.576086,-34.007244999999998
Residential,Formal,"False Alarm, Good Intent",14,October,2015,10/14/2015 12:00:00 AM,0:02,0:00 - 0:30,Delft South,Tygerberg,00:34|00:37|00:41|00:40,,False Alarm,Nil,Nil,N/a,Fagi Due To Being Unable To Locate Site Of Alleged Fire Reported By Ambulance Service.,,East,"Belhar, Mitchells Plain",Delft South,BrHse_SepStand,3307,LSM 04,Owned Paid In Full,IsiXhosa,Black African,Age 0 - 4,Unmarried,Secondary,38108,237000,Delft Main Road,18.637744000000001,-33.990462999999998
Residential,Informal,"Fire, manually extinguished",25,October,2015,10/25/2015 12:00:00 AM,0:02,0:00 - 0:30,Khayelitsha,Tygerberg,01:03|00:24|01:07|00:25,,,,,,,,East,"Lansdowne, Ottery, Mitchells Plain",Bongani TR Section,Informal,1933,LSM 01,Occupied,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,8799,696000,Mew Way,18.653110000000002,-34.034019000000001
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",20,November,2015,11/20/2015 12:00:00 AM,0:02,0:00 - 0:30,Elsies Rivier,Elsies River,0:36,Grass,Minor Vegetation Fire,Extinguished Fire With Spades,2x Spades,Open Flames,Vagrant Cooking Fire,,North,Goodwood,Elsies Rivier,BrHse_SepStand,11748,LSM 07,Rented,Afrikaans,Coloured,Age 20 - 24,Unmarried,Secondary,1472,0.27,Thor Street,18.579246999999999,-33.933928999999999
Residential,Informal,"Fire, manually extinguished",13,December,2015,12/13/2015 12:00:00 AM,0:02,0:00 - 0:30,Khayelitsha,Tygerberg,00:12|00:21|00:40|00:16,"Bed, Bedding And Personel Effects,etc",Average Structural Fire,Extinguished With One Jet From E26a,1 X 45mm Hose,Arson,Suspected Arson,0:15,East,"Lansdowne, Khayelitsha, Mitchells Plain",Bongani TR Section,Informal,1933,LSM 01,Occupied,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,8799,696000,Lansdowne Road ( Govan Mbeki Road ),18.650269999999999,-34.032004999999998
Other,Rubbish/Grass/Bush,"False Alarm, Malicious",1,January,2009,01/01/2009 12:00:00 AM,0:03,0:00 - 0:30,Bothasig,Blaauwberg,00:28|00:20,,False Alarm,No Call Found,,N/a,False Alarm,,North,Milnerton,Bothasig,BrHse_SepStand,23555,LSM 12,Owned Not Paid Off,English,White,Age 40 - 44,Married,Secondary,12444,407000,Buren Street,18.534119,-33.860985999999997
Residential,Informal,"Fire, manually extinguished",11,January,2009,01/11/2009 12:00:00 AM,0:03,0:00 - 0:30,Ottery,South Peninsula,02:24|02:19|02:17|02:11|02:21|00:38|01:06|01:08,Numerous Wood And Iron Structures,Average Structural Fire,Fire Extinguished By Brigade,"4 X 65mm Hose, 3 X 45mm Hose And Dividing Breeching",Open Flames,Open Flame From Candle,1:30,West,Wynberg,Ottery,BrHse_SepStand,24787,LSM 12,Owned Not Paid Off,English,Coloured,Age 45 - 49,Unmarried,Secondary,5372,199000,Woodlands Road,18.514446,-34.015022000000002
Transport,Car/Motorcycle,"Fire, manually extinguished",21,January,2009,01/21/2009 12:00:00 AM,0:03,0:00 - 0:30,Richwood,Blaauwberg,01:00|00:01,One Minibus Taxi And Grass,Vehicle Fire,Extinguished Fire With One Fog-jet From E39,One Fogjet From E39,Undetermined,Unknown,,North,Milnerton,Richwood,BrHse_SepStand,21735,LSM 11,Owned Not Paid Off,English,White,Age 35 - 39,Married,Secondary,3153,0.77,N 7,18.543430000000001,-33.832985999999998
Storage,Outside Storage,"Fire, manually extinguished",31,May,2009,05/31/2009 12:00:00 AM,0:03,0:00 - 0:30,Schaap Kraal,South Peninsula,00:53|00:54|00:57|00:51,Wendy House,Minor Structural Fire,Extinguished With Two Fogjets From E10,Two Hosereels,Undetermined,Undetermined,0:35,West,"Ottery, Wynberg",Philippi SP2,BrHse_SepStand,6581,LSM 06,Occupied,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,6985,3422000,6th Avenue,18.528025,-34.040478999999998
Residential,Informal,"Fire, manually extinguished",17,October,2009,10/17/2009 12:00:00 AM,0:03,0:00 - 0:30,Philippi,Cape Town,01:09|00:55|00:49|00:50|00:48,"Bed, Bedding And Personal Effects Etc.",Minor Structural Fire,Extinguished: With One Jet From E44 Motor Pump,1 X 45 Mm And 3 X 65 Mm Hoses,Undetermined,Unknown,0:10,East|west,"Guguletu, Mitchells Plain, Ottery",Philippi SP2,BrHse_SepStand,6581,LSM 06,Occupied,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,6985,3422000,Rochester Road,18.530878999999999,-34.004941000000002
Commercial,Offices,"Fire, manually extinguished",12,February,2010,02/12/2010 12:00:00 AM,0:03,0:00 - 0:30,Green Point,Cape Town,01:40|02:18|01:07|00:48,"Timber, Wooden Floor Boards And Beams",Minor Structural Fire,Fire Extinguished With One Fog Jet From Echo 48 Motor Pump And 2 Ba Sets.,"1 X Hosereel, 2 X Ba Sets And 1 X P.P.V (20 Min)",Electrical Faults,Sparks From Short Circuit In Electrical Wiring Igniting Insulation.,0:20,West,"Sea Point, Roeland Street",Green Point,Flats,34198,LSM 14,Rented,English,White,Age 25 - 29,Unmarried,Tertiary Plus,5660,201000,Main Road,18.408973,-33.907561999999999
Other,Rubbish/Grass/Bush,"False Alarm, Good Intent",14,March,2010,03/14/2010 12:00:00 AM,0:03,0:00 - 0:30,Lavender Hill/seawinds,South Peninsula,00:23|00:19,,,Nil.,Nil.,Smoking,False Alarm With Good Intent Due To Vagrants Burning Copper Wiring Being Mistaken For Vegetation Alight.,,West,Lakeside,Lavender Hill,BrHse_SepStand,3924,LSM 05,Rented,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,27333,163000,Military Road Extension,18.487950999999999,-34.070746999999997
Other,Miscellaneous,"Fire, manually extinguished",3,May,2010,05/03/2010 12:00:00 AM,0:03,0:00 - 0:30,Mitchell's Plain,Cape Town,00:23|00:25,Tyres,Rubbish Fire,Extinguished With Two Fog Jets From Echo 52 Motor Pump,2 Hosereels,Other,Passer By Dropping Alight,0:15,East,Mitchells Plain,Portland,BrHse_SepStand,10805,LSM 07,Owned Paid In Full,English,Coloured,Age 0 - 4,Unmarried,Secondary,25495,241000,Mitchell Avenue,18.613631000000002,-34.050111000000001
Residential,Formal,"Fire, manually extinguished",7,July,2010,07/07/2010 12:00:00 AM,0:03,0:00 - 0:30,Macassar,Helderberg,00:53|00:52|00:58|00:51,"Bed, Bedding, Household Furniture And Personal Effects, Etc",Minor Structural Fire,Extinguished: One Jet From E29 Motor Pump.,1 X 65mm And 1 X 45mm Hose And Branch,Open Flames,Suspected Heating Device Ignting Combustible Material.,0:28,East,"Macassar, Somerset West, Strand",Macassar SP,BrHse_SepStand,6456,LSM 06,Owned Paid In Full,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,34151,2706000,6053 Oliver Tambo,18.752175999999999,-34.063428999999999
Commercial,Restaurant/Cafe,"False Alarm, Good Intent",1,September,2010,09/01/2010 12:00:00 AM,0:03,0:00 - 0:30,Observatory,Cape Town,00:21|00:23|00:18,Capacitor Of Fridge,False Alarm,Nil,Nil,Undetermined,Capacitor Of Fridge Heated Up And Releases Smoke,,West,"Roeland Street, Salt River",Observatory,BrHse_SepStand,20978,LSM 11,Rented,English,Black African,Age 20 - 24,Unmarried,NA,9716,310000,Lower Main Road,18.468474000000001,-33.943019
Other,Rubbish/Grass/Bush,"False Alarm, Malicious",17,December,2010,12/17/2010 12:00:00 AM,0:03,0:00 - 0:30,Atlantis,Blaauwberg,0:30,,False Alarm,Nil,Nil,,,,North,Atlantis,Beaconhill,BrHse_SepStand,10875,LSM 07,Owned Not Paid Off,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,2186,107000,Sampson Road,18.496420000000001,-33.563817
Miscellaneous,Person Trapped (Building),Special Service,1,February,2011,02/01/2011 12:00:00 AM,0:03,0:00 - 0:30,Lavender Hill,South Peninsula,00:51|00:39,,Special Service,Rendered Medical Assistance,"Trauma Board, 2 Splints, 2 Flannel Strips.",N/a,,,West,Lakeside,Lavender Hill,BrHse_SepStand,3924,LSM 05,Rented,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,27333,163000,Shepherd Way,18.484763000000001,-34.070805
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",4,March,2011,03/04/2011 12:00:00 AM,0:03,0:00 - 0:30,Belhar,Tygerberg,0:17,Rubbish,Rubbish Fire,Extinguished With Sand,2x Spades,Open Flames,Passerby Setting Alight Combiustible Material,,East,Belhar,Belhar N.T.,BrHse_SepStand,9766,LSM 07,Owned Not Paid Off,Afrikaans,Coloured,Age 20 - 24,Unmarried,Secondary,2604,0.34,Arundel Drive,18.657662999999999,-33.944057000000001
Miscellaneous,Other,"Fire, manually extinguished",25,May,2011,05/25/2011 12:00:00 AM,0:03,0:00 - 0:30,Mfuleni,Tygerberg,00:36|00:40,Insulation Of Electrical Wiring,,Extinguished Fire With One Fogjet From E54a Motorpump,One Hose Reel,Electrical Faults,Shortsircuit In Electrical Wiring Igniting Insulation.,0:05,East,Mfuleni,Mfuleni SP,BrHse_SepStand,3007,LSM 04,Occupied,IsiXhosa,Black African,Age 0 - 4,Unmarried,Secondary,55174,1346000,Mnyathi Road,18.678387000000001,-34.000667999999997
Residential,Formal,"Fire, manually extinguished",11,September,2011,09/11/2011 12:00:00 AM,0:03,0:00 - 0:30,Ottery,South Peninsula,01:17|01:16|01:22,Entire Structure And Contents,Average Structural Fire,Extinguished With 2 Jets From E11,2 X 45 And 2 X 65 M.M Hose,Undetermined,Undetermined Pending Saps Investigation,0:30,West,"Ottery, Wynberg",Ferness,BrHse_SepStand,22556,LSM 12,Owned Not Paid Off,English,Coloured,Age 15 - 19,Unmarried,Secondary,2704,123000,De Wet Road,18.506982000000001,-34.018149999999999
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",21,December,2011,12/21/2011 12:00:00 AM,0:03,0:00 - 0:30,Lotus River,South Peninsula,0:27,Vegetation,Minor Vegetation Fire,Extinguished: 1 Fog Jet From Echo11 Motor Pump,One Hose Reel,Open Flames,Passer-by Dropping A Light.,0:15,West,Ottery,Lotus River,BrHse_SepStand,9775,LSM 07,Rented,English,Coloured,Age 0 - 4,Unmarried,Secondary,40258,501000,Ave 7th Seventh Avenue,18.514385000000001,-34.039603999999997
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",28,January,2012,01/28/2012 12:00:00 AM,0:03,0:00 - 0:30,Joostenberg Vlakte,Oostenberg,0:36,Vegetation,Minor Vegetation Fire,Extinguished With One Fog Jet From Echo 02 Motor Pump,1x Hose Reel,Other,Passer-by Dropping Alight,0:10,North,Kraaifontein,Joostenberg Vlakte SH,BrHse_SepStand,27579,LSM 13,Owned Not Paid Off,Afrikaans,White,Age 40 - 44,Married,Secondary,569,216000,Lucullus Road,18.732158999999999,-33.829058000000003
Other,Rubbish/Grass/Bush,"False Alarm, Malicious",12,March,2012,03/12/2012 12:00:00 AM,0:03,0:00 - 0:30,Kommetjie,Cape Town,00:26|00:27,,False Alarm,Nil,Nil,,A False Alarm Malicious,,West,Fish Hoek,Klein Slangkop,BrHse_SepStand,27478,LSM 13,Owned Paid In Full,English,White,Age 5 - 9,Married,Secondary,319,0.61,Off Wireless Road,18.340067999999999,-34.130515000000003
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",26,March,2012,03/26/2012 12:00:00 AM,0:03,0:00 - 0:30,Lotus River,South Peninsula,00:46|00:49,Grass,Special Service,Extinguished: One Fog Jet From E5 Motor Pump,One Hosereel,Smoking,Passerby Dropping A Light,0:10,West,Ottery,Lotus River,BrHse_SepStand,9775,LSM 07,Rented,English,Coloured,Age 0 - 4,Unmarried,Secondary,40258,501000,Buck Road,18.520869000000001,-34.040770000000002
Residential,Formal,"Fire, manually extinguished",28,May,2012,05/28/2012 12:00:00 AM,0:03,0:00 - 0:30,Bishop Lavis,Tygerberg,00:28|00:27|00:27|00:13,1x Shack.,Minor Structural Fire,Made Area Safe With Fogjet From E47( 700lt.).,Fogjet.,Open Flames,Unattended Candle Fell Over And Ignited Structure.,0:05,East,Belhar,Bishop Lavis,BrHse_SepStand,5887,LSM 06,Owned Paid In Full,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,27950,259000,Angle Road,18.582401999999998,-33.948587000000003
Residential,Informal,"Fire, manually extinguished",17,August,2012,08/17/2012 12:00:00 AM,0:03,0:00 - 0:30,Westlake,South Peninsula,01:07|01:03|01:16,"Bed, Bedding And Personal Effects, Etc.",Average Structural Fire,Extinguished With One Fog Jet From E17 Motor Pump.,One Fire Hosereel,Open Flames,Overturned Candle Igniting Bedding,0:25,West,"Lakeside, Constantia",Westlake 1,BrHse_SepStand,18579,LSM 10,Rented,English,Black African,Age 25 - 29,Unmarried,Secondary,6810,202000,Egret Street,18.439398000000001,-34.075377000000003
Miscellaneous,Assist Private Company,"Special Service, False Good Intent",21,October,2012,10/21/2012 12:00:00 AM,0:03,0:00 - 0:30,Delft,Tygerberg,00:34|00:29,,Special Service,None,None,N/a,"Electrocution, Adult Male Stable, Code Orage",,East,Belhar,Delft SP,BrHse_SepStand,3109,LSM 04,Occupied,IsiXhosa,Black African,Age 0 - 4,Unmarried,Secondary,76404,435000,Keisi Court,18.636831999999998,-33.974488000000001
Residential,Formal,"Fire, manually extinguished",25,November,2012,11/25/2012 12:00:00 AM,0:03,0:00 - 0:30,New Crossroads,Cape Town,00:38|00:40|00:39,Electrical Componenets In Room.,Minor Structural Fire,Inspected Premises And Took Particulars.,Torches.,Electrical Faults,Possible Electrical Fault.,,East,Mitchells Plain,New Crossroads,BrHse_SepStand,3435,LSM 04,Owned Paid In Full,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,28931,190000,Mzamo Avenue,18.582609999999999,-33.995714
Residential,Formal,"Fire, manually extinguished",29,January,2013,01/29/2013 12:00:00 AM,0:03,0:00 - 0:30,Nyanga,Cape Town,00:30|00:27|00:23,"Bed, Bedding And Personal Effects.",Minor Structural Fire,Extinguished With One Fog Jet From E10 Motor Pump,1 X Hose Reel,Cooking,Pot Of Food Left On Switched On Stove.,0:05,East,Guguletu,Nyanga SP,BrHse_SepStand,2910,LSM 03,Occupied,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,27735,105000,Terminus Way,18.582287999999998,-33.987568000000003
Residential,Informal,"Fire, manually extinguished",29,June,2013,06/29/2013 12:00:00 AM,0:03,0:00 - 0:30,Browns Farm,Philippi,00:59|01:01|00:28|00:56|00:30,"1 X Wood And Iron Structure Consisting Of Bed, Bedding And Personal Effects Burned",Minor Structural Fire,Fire Was Extinguished By Brigade With 1 X Fog Jet From E05 Motor Pump Backed Up By W20,1 X Hose Reel,Undetermined,Undetermine/pending Saps Investigation,0:10,East,"Guguletu, Mitchells Plain",Browns Farms,BrHse_SepStand,2914,LSM 03,Owned Paid In Full,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,74768,339000,Mpozolo Street,18.576086,-34.007244999999998
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",14,January,2014,01/14/2014 12:00:00 AM,0:03,0:00 - 0:30,Atlantis,Blaauwberg,00:22|00:22|00:23|00:31,Rubbish,Rubbish Fire,Nil,Owner Ext. Fire Using Garden Hose,Other,,,North,Atlantis,Avondale SP1,BrHse_SepStand,8647,LSM 06,Owned Not Paid Off,Afrikaans,Coloured,Age 0 - 4,Unmarried,Secondary,12281,232000,Shasta Road,18.494011,-33.563637999999997
Residential,Formal,"Fire, manually extinguished",10,February,2014,02/10/2014 12:00:00 AM,0:03,0:00 - 0:30,Lotus River,South Peninsula,02:36|01:47|02:46|02:19|01:53|01:18,Wood And Iron Structures,Minor Structural Fire,Used Two Jets To Extinguish Fire,"4x65mm, 2x45mm Hose, 2xbranches,",Open Flames,Under Saps Crime Scene Investigation,1:00,West,"Ottery, Wynberg",Lotus River,BrHse_SepStand,9775,LSM 07,Rented,English,Coloured,Age 0 - 4,Unmarried,Secondary,40258,501000,5th Avenue,18.525949000000001,-34.039330999999997
Residential,Informal,"Fire, manually extinguished",10,February,2014,02/10/2014 12:00:00 AM,0:03,0:00 - 0:30,Langa,Cape Town,00:36|00:29|00:27|00:13,"Wood, Mud And Hay Structure.",Minor Structural Fire,Extinguished Fire With One Fog Jet From E33 Motor Pump.,1 X Hosereel From E33 Motor Pump.,Open Flames,Suspected That It Was Set Alight By A Passer-by,0:25,North,Epping,Langa SP,Informal,3807,LSM 05,Rented,IsiXhosa,Black African,Age 25 - 29,Unmarried,Secondary,55307,309000,Washington Street,18.529719,-33.94661
Other,Rubbish/Grass/Bush,"Fire, manually extinguished",16,February,2014,02/16/2014 12:00:00 AM,0:03,0:00 - 0:30,Ottery,South Peninsula,00:23|00:25,Rubbish,Rubbish Fire,Used One Jet To Extinguish Fire,"1xbranch, 1x45mm Hose",Open Flames,Workers Set Rubbish Alight,0:34,West,Ottery,Ottery,BrHse_SepStand,24787,LSM 12,Owned Not Paid Off,English,Coloured,Age 45 - 49,Unmarried,Secondary,5372,199000,Old Strandfontein Road,18.519192,-34.016289999999998
