ISSID,Municipality_metro,Metro,Rural,TownCity_Name,Suburbareaplacename,Police_Station,Coordinates,First_Street,Cross_Street,Start_Date,End_Date,Ongoing,Type_ID,Type,Violent_or_non_violent,Violent_or_non_violent_code,Rangecode,Reasonforprotest,ward,Toilets.None,Toilets.Bucket toilet,Toilets.Other,Toilets.Unspecified,Toilets.Chemical toilet,Toilets.Flush toilet (connected to sewerage system),Toilets.Pit toilet without ventilation,Toilets.Pit toilet with ventilation (VIP),Toilets.Total,Toilets.Not applicable,Toilets.Flush toilet (with septic tank),Electricity.No electricity for heating:,Electricity.No electricity for lighting,Electricity.No electricity for cooking:,Electricity.Electricity for heating:,Electricity.Electricity for cooking:,Electricity.Total,Electricity.Electricity for lighting,Water.Regional/local water scheme (operated by municipality or other water services provider),Water.Spring,Water.Dam/pool/stagnant water,Water.Water tanker,Water.Other,Water.Borehole,Water.River/stream,Water.Total,Water.Not applicable,Water.Rain water tank,Water.Water vendor,Location 1
236,Western Cape - City of Cape Town,1,0,Cape Town,Western Cape High Court,WC - Dieprivier,"-33.931992,18.4443",High st,High st,12-Jun-13,12-Jun-13,0,9,Service delivery,Peaceful,0,5,"Dressed in their school uniforms, 61 members of the school’s student representative council (SRC) protested against school, The Western Cape High Court was hearing a review of Grant’s decision to close 20 of the 27 schools he had initially identified for possible closure last year. The majority of the schools which had been closed were small, rural schools which relied on multigrade teaching and had low pupil numbers.",19100057,341,67,50,294,28,31723,2,12,33076,182,377,2365,85,1565,7838,8638,10203,10118,32328,23,6,36,386,55,0,33076,182,31,29,"9
(-33.931992, 18.444299)"
219,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.857529,31.019141",Plowright Ln,Monty Naicker Rd,13-Jun-13,13-Jun-13,0,4,Labour related,Peaceful,0,1,"(Nehawu) members marched in Durban on Thursday, demanding the dismissal of the provincial health chief, Dr Sibongile Zungu, in a memorandum handed to health MEC Sibongiseni Dhlomo.  The union wants vacant posts to be filled and compliance by the province with the National Health Act.",59500028,405,9,17,182,249,20692,6,21,23171,0,1590,881,97,439,7860,8302,8741,8644,22291,8,149,78,487,24,20,23170,0,43,70,"6
(-29.857529, 31.019141)"
233,KwaZulu Natal - eThekwini,1,0,Durban,Jadhu Place squatter camp,KZN - Durban Central,"-29.823072,30.998657",Alpine Road,Alpine Road,13-Jun-13,13-Jun-13,0,9,Service delivery,Violent,1,5,"residents were demanding land, housing, electricity, water, and speed humps in Alpine Road.",59500025,1290,142,777,438,2472,29137,3624,565,39025,0,580,6435,5461,5780,7192,7847,13627,8166,35991,63,42,198,1456,730,24,39024,0,49,471,"6
(-29.823072, 30.998657)"
235,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town provincial legislature,WC - Cape Town Central,"-33.924183,18.418705",7 Wale Street,7 Wale Street,13-Jun-13,13-Jun-13,0,9,Service delivery,Peaceful,0,3,"Hundreds of ANC supporters marched to the provincial legislature on Thursday over poor service delivery, school closures, the DA’s perceived racism and dissatisfaction with the way the MyCiTi bus service is being implemented.",19100077,25,7,42,130,2,27593,0,36,28251,231,185,1578,71,1335,9576,9819,11154,11083,27605,1,11,39,228,47,2,28251,231,9,78,"9
(-33.924182, 18.418704)"
220,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.857529,31.019141",Not applicable,Not applicable,14-Jun-13,14-Jun-13,0,4,Labour related,Peaceful,0,1,"Taxi drivers from all over KwaZulu-Natal are threatening to bring the province to a halt today when they embark on a stayaway strike demanding, among other things, to be employed permanently and not to have traffic officials harass them about warrants of arrest",59500028,405,9,17,182,249,20692,6,21,23171,0,1590,881,97,439,7860,8302,8741,8644,22291,8,149,78,487,24,20,23170,0,43,70,"6
(-29.857529, 31.019141)"
221,North West - Rustenburg,0,0,Rustenburg,"Anglo American Platinum, Thembelani shaft",NW - Rustenburg,"-25.654835,27.23321",Not applicable,Not applicable,14-Jun-13,14-Jun-13,0,4,Labour related,Peaceful,0,5,"Workers from the Association of Mineworkers and Construction Union (Amcu) at the company’s Thembelani shaft have, since the 4am shift started, refused to come up from underground because they want their leadership's suspension lifted, according to George Tyobeka, an Amcu leader. Four Amcu leaders had been suspended amid allegations they submitted fraudulent membership applications in a bid to inflate union membership numbers.",63703013,8,6,9,163,1,7598,10,1,7842,0,46,368,29,61,2124,2431,2492,2463,7307,4,7,32,291,173,1,7842,0,13,14,"5
(-25.654834, 27.23321)"
222,KwaZulu Natal - eThekwini,1,0,Durban,Addington Hospital,KZN - Durban Central,"-29.861874,31.040613",Prince street,Masonic Rd,14-Jun-13,14-Jun-13,0,9,Service delivery,Peaceful,0,5,"The Health and Other Service Personnel Trade Union (Hospersa) picketed about the fact that the hospital's two radiotherapy machines were left idle for five months.  In a memorandum, they demanded an explanation from health MEC Sibongiseni Dhlomo.",59500026,49,6,70,89,9,33893,2,44,34602,99,341,871,85,428,11868,12311,12739,12654,33219,33,14,74,1013,52,7,34601,99,53,37,"6
(-29.861874, 31.040613)"
223,Mpumalanga - Bushbuckridge,0,1,Bushbuckridge,Moloro village,MP - Bushbuckridge,"-24.612738,30.973347",Not applicable,Not applicable,14-Jun-13,14-Jun-13,0,9,Service delivery,Violent,1,5,"Bushbuckridge Residents' Association (BRA), which won Ward 15 in the 2009 elections, accused Mabuza of visiting the area without consulting, or at least informing, BRA councilor Delta Mokoena. David ""DD"" Mabuza  was called an ""immature and confused"" politician who disguised ANC campaigns as government service delivery.",83205015,1815,61,344,12,94,56,11506,1314,15354,0,152,2876,240,2314,792,1354,3668,3428,13586,993,185,40,49,360,56,15354,0,48,37,"7
(-24.612738, 30.973347)"
254,Western Cape - City of Cape Town,1,0,Woodstock,Esplanade train station,WC - Woodstock,"-33.92382,18.445411",Old Marine Dr,Beach Rd,14-Jun-13,14-Jun-13,0,9,Service delivery,Violent,1,5,"183 people were arrested on public violence charges at the Esplanade train station in Woodstock for carrying portable flush toilets and human waste in blue municipal bags placed in milk crates, in a protest about portable flush toilets (PFTs).",19100055,67,92,96,151,4,34163,11,9,35533,707,233,2960,85,1058,8516,10418,11476,11391,34368,1,11,68,268,44,7,35534,707,29,31,"9
(-33.923819, 18.445411)"
259,Mpumalanga - Nkangala,0,0,Hendrina,Kwazamokuhle,MP - Hendrina,"-26.133654,29.733928",Arnot - Hendrina road,Arnot - Hendrina road,14-Jun-13,14-Jun-13,0,9,Service delivery,Violent,1,5,"The people of Kwazamokuhle and Hendrina want a Police Station in Kwazamokuhle, a 24 hour Clinic and English Medium Schools - all before the 2014 elections.",83103001,14,67,9,1,0,3910,0,6,4043,0,36,463,17,286,715,892,1178,1161,3954,0,10,18,52,1,1,4042,0,0,6,"7
(-26.133654, 29.733927)"
350,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.857966,31.019066",Monty Naicker Rd,Monty Naicker Rd,14-Jun-13,14-Jun-13,0,4,Labour related,Peaceful,0,5,South African National Taxi Council secretary general Philip Taaibosch said the drivers were demanding formalised employment in the industry.,59500028,405,9,17,182,249,20692,6,21,23171,0,1590,881,97,439,7860,8302,8741,8644,22291,8,149,78,487,24,20,23170,0,43,70,"6
(-29.857966, 31.019065)"
226,KwaZulu Natal - eThekwini,1,0,Durban,Durban,KZN - Durban Central,"-29.857529,31.019141",Monty Naicker Rd,Plowright Ln,16-Jun-13,16-Jun-13,0,2,Education related,Peaceful,0,5,Thousands of school children and Equal Education (EE) members marched  demand that Basic Education Minister Angie Motshekga publish norms and standards on school infrastructure.,59500028,405,9,17,182,249,20692,6,21,23171,0,1590,881,97,439,7860,8302,8741,8644,22291,8,149,78,487,24,20,23170,0,43,70,"6
(-29.857529, 31.019141)"
224,Western Cape - City of Cape Town,1,0,Cape Town,"Cape Town, Parliament",WC - Cape Town Central,"-33.927709,18.418628",Plein Street,St John St,17-Jun-13,17-Jun-13,0,2,Education related,Peaceful,0,5,Thousands of school children and Equal Education (EE) members marched in Pretoria and Cape Town on Monday to demand that Basic Education Minister Angie Motshekga publish norms and standards on school infrastructure.,19100077,25,7,42,130,2,27593,0,36,28251,231,185,1578,71,1335,9576,9819,11154,11083,27605,1,11,39,228,47,2,28251,231,9,78,"9
(-33.927709, 18.418627)"
225,Gauteng - City of Tshwane,1,0,Pretoria,Pretoria,GP - Pretoria Central,"-25.748427,28.18528",Bosman street,Pretorius st,17-Jun-13,17-Jun-13,0,2,Education related,Peaceful,0,5,Thousands of school children and Equal Education (EE) members marched in Pretoria and Cape Town on Monday to demand that Basic Education Minister Angie Motshekga publish norms and standards on school infrastructure.,79900060,519,82,147,226,44,30975,16,23,32681,24,625,1591,566,786,8409,9214,10000,9434,28303,2,415,97,3652,29,18,32680,24,9,131,"3
(-25.748427, 28.185279)"
242,Free State - Ngwathe,0,0,Ngwathe,Koppies,FS - Koppies,"-27.228055,27.594243",Raboroko St,Makalatsi St,18-Jun-13,21-Jun-13,0,9,Service delivery,Violent,1,5,"Residents went on the rampage, looting almost all the tuck-shops in the Kwakwatsi area, after the municipality apparently failed to respond to their grievances.",42003002,26,0,2,12,0,5516,10,4,5570,0,0,458,66,126,1262,1594,1720,1654,5473,0,0,12,49,22,0,5569,0,0,13,"2
(-27.228055, 27.594242)"
248,Northern Cape - Sol Plaatjie,0,0,Kimberley,Sol Plaatje municipal gardens,NC - Kimberley,"-28.744239,24.767116",Jan Smuts Boulavard,Jan Smuts Boulavard,18-Jun-13,18-Jun-13,0,3,Election related,Violent,1,5,"DA supporters gathered early at Sol Plaatje’s Memorial, where a wreath-laying ceremony and public address by Zille were scheduled to take place. DA supporters were met by a municipal worker watering the lawn with a hosepipe, mindless of the sound-system, electrical wires and the podium. the crowd became angry, and DA supporters accusing the ANC of deliberately trying to sabotage the event.",30901023,44,0,12,24,1,5464,0,0,5668,65,58,229,20,141,1566,1654,1795,1775,5473,5,0,18,43,46,5,5669,65,1,13,"4
(-28.744239, 24.767116)"
249,Eastern Cape - Senqu,0,0,Port Elizabeth,Sterkspruit,EC - Sterkspruit,"-30.524918,27.364592",Not applicable,Not applicable,18-Jun-13,18-Jun-13,1,9,Service delivery,Violent,1,5,"Sterkspruit residents, under the banner of the Sterkspruit Civic Association, demand a stand-alone municipality separate from the Senqu municipality, which incorporates Lady Grey and Barkly East. Other complaints related to lack of service delivery in Sterkspruit, and allegations of corruption and nepotism in the Senqu municipality.",21402010,1795,16,166,48,880,959,4094,609,9054,9,478,2204,1268,1455,514,1263,2718,1450,7644,75,155,616,274,56,91,9052,9,106,26,"1
(-30.524918, 27.364591)"
349,Gauteng - City of Johannesburg,1,0,Johannesburg,Sunninghill,GP - Sandton,"-26.034091,28.064666",Leeuwkop Rd,Simba Rd,18-Jun-13,18-Jun-13,0,4,Labour related,Peaceful,0,5,Minopex workers' grievances included salary discrepancies. They also wanted the NUM to be recognised according to regions.,79800093,24,12,19,253,4,23350,0,6,23857,18,171,1263,76,622,8685,9326,9948,9872,23073,10,33,17,477,141,15,23857,18,16,57,"3
(-26.034091, 28.064665)"
240,KwaZulu Natal - eThekwini,1,0,Durban,"Glebelands Reunion hostel ,Umlazi",KZN - Umlazi,"-29.9588,30.932748",Mangosuthu Highway,Mangosuthu Highway,19-Jun-13,21-Jun-13,0,9,Service delivery,Violent,1,3,"The offices of an Umlazi councilor were torched by disgruntled residents, The residents held a protest on Thursday complaining about service delivery. Glebelands Hostel residents demanded the immediate recall of ANC councilor, Mr. Mzobe",59500076,131,49,1033,370,4433,11980,914,117,19389,0,362,2558,1500,1699,4914,5773,7472,5972,17486,27,57,63,727,904,3,19387,0,42,78,"6
(-29.9588, 30.932748)"
238,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town Central train station,WC - Cape Town Central,"-33.92217,18.425035",Adderley St,Adderley St,20-Jun-13,20-Jun-13,1,9,Service delivery,Peaceful,0,3,Protesting against sanitation issues. Police blocked demonstrators carrying portable toilets and a bag of faeces at Cape Town Central train station on Thursday.,19100077,25,7,42,130,2,27593,0,36,28251,231,185,1578,71,1335,9576,9819,11154,11083,27605,1,11,39,228,47,2,28251,231,9,78,"9
(-33.92217, 18.425035)"
239,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town provincial legislature,WC - Cape Town Central,"-33.930626,18.432016",Keizergracht Street,keizergracht St,20-Jun-13,20-Jun-13,1,9,Service delivery,Peaceful,0,3,"Meanwhile, at the legislature, the group of women placed a clean portable toilet on the steps leading to the building’s entrance. Khayelitsha resident Nolizwi Ngcana read out the memorandum. “The refusal of the Zille government to take immediate and urgent steps to provide the people living in informal areas, decent, safe and sanitary toilets can only be described as abject genocidal neglect.” Wayne Naidoo, from the premier’s office, collected the memorandum.",19100057,341,67,50,294,28,31723,2,12,33076,182,377,2365,85,1565,7838,8638,10203,10118,32328,23,6,36,386,55,0,33076,182,31,29,"9
(-33.930625, 18.432016)"
243,Free State - Ngwathe,0,0,Ngwathe,Koppies Magistrate's Court,FS - Koppies,"-27.240605,27.576515",Church Street,Church street,20-Jun-13,20-Jun-13,0,9,Service delivery,Violent,1,5,"They had been protesting in support of 26 people arrested on Tuesday in connection with violent protests in Kwakwatsi. A group of about 600 protestors gathered at the court yesterday and when they heard the 26 had been denied bail, they refused to leave the premises and began stoning the police, damaging a police van.",42003018,195,108,8,10,5,3277,521,296,4898,175,303,423,116,221,1334,1536,1757,1641,3073,15,24,101,166,1291,3,4900,175,30,22,"2
(-27.240604, 27.576515)"
247,Western Cape - City of Cape Town,1,0,Cape Town,Wallacedene,WC - Kraaifontein,"-33.858283,18.733348",Billy Cl,Matshoba St,20-Jun-13,20-Jun-13,0,9,Service delivery,Violent,1,5,Protests broke out in the area after residents claimed there was corruption with the allocation of RDP houses. They alleged the houses were sold to people from other areas. 55 people had been arrested on charges of public violence and were due to appear in the Kuils River Magistrates Court,19100006,286,24,119,89,21,21988,11,19,23474,0,917,2979,196,435,3336,5880,6315,6119,22673,14,2,38,661,40,0,23472,0,0,44,"9
(-33.858283, 18.733347)"
227,Gauteng - City of Johannesburg,1,0,Johannesburg,Alexandra,GP - Alexandra,"-26.110238,28.110155",London road,M3,21-Jun-13,21-Jun-13,0,9,Service delivery,Violent,1,5,Illegal protest against installation of new electric meter system,79800105,427,1133,69,192,116,45728,25,54,49252,0,1508,582,367,455,15735,15862,16317,15950,47609,23,19,166,677,573,5,49254,0,36,146,"3
(-26.110237, 28.110154)"
256,North West - Rustenburg,0,0,Rustenburg,Swartruggens,NW - Swartruggens,"-25.655071,27.221327",Swartruggens Road,Swartruggens Road,21-Jun-13,21-Jun-13,1,9,Service delivery,Peaceful,0,5,Cosatu North West motorcade drive slowly to the “expensive” Swartruggens toll-gate in the North West to demand that its fees be reduced.,63703013,8,6,9,163,1,7598,10,1,7842,0,46,368,29,61,2124,2431,2492,2463,7307,4,7,32,291,173,1,7842,0,13,14,"5
(-25.655071, 27.221326)"
257,Gauteng - City of Johannesburg,1,0,Johannesburg,Braamfontein,GP - Jeppe,"-26.202813,28.030369",M1 North,N1 North,21-Jun-13,21-Jun-13,1,9,Service delivery,Peaceful,0,5,Cosatu's provincial strike against Gauteng’s multibillion-rand e-tolls as its campaign opposing the controversial tolling system.,79800060,285,27,106,282,1,42772,23,37,45373,1312,528,527,167,661,12635,12501,13162,12995,42597,0,13,46,882,266,99,45373,1312,33,125,"3
(-26.202812, 28.030369)"
260,Gauteng - City of Johannesburg,1,0,Johannesburg,Soweto - Dube Hostel,GP - Dube,"-26.238501,27.89265",Mahalefele Rd,Mahalefele Rd,21-Jun-13,21-Jun-13,0,9,Service delivery,Violent,1,5,"Residents of Dube hostel stoned passing cars and they also damaged the KFC nearby, No one was arrested. The reason for the protest was apparently because the hostel had no electricity.",79800038,79,230,103,92,12,20706,37,1,21716,2,454,604,553,572,5996,6028,6600,6047,21007,18,1,145,449,18,41,21716,2,5,30,"3
(-26.2385, 27.89265)"
280,Gauteng - City of Johannesburg,1,0,Johannesburg,Alexandra,GP - Alexandra,"-26.10365,28.096136",Hofmeyer Street,Hofmeyer Street,21-Jun-13,21-Jun-13,0,9,Service delivery,Peaceful,0,5,Residents of Alexandra protested over electricity tariffs.,79800108,497,834,60,127,497,29471,38,94,32259,0,641,1193,821,921,10273,10545,11466,10645,29744,12,9,95,806,1418,5,32257,0,57,111,"3
(-26.103649, 28.096136)"
296,Limpopo - Greater Giyani,0,1,Giyani,Ndzingindzingi,LP - Giyani,"-23.342931,30.636538",Not applicable,Not applicable,21-Jun-13,21-Jun-13,0,6,Transport related,Peaceful,0,5,The community of Ndzingindzingi outside Giyani is up in arms over the increase in taxi fares by the Hlaniniki Maswanganyi Taxi Association.,93301007,631,25,27,3,9,131,6609,4270,11757,0,52,2033,116,2180,730,583,2763,2647,7155,7,509,45,40,537,202,11757,0,120,3142,"8
(-23.342931, 30.636538)"
348,Gauteng - Ekurhuleni,1,0,Brakpan,Brakpan,GP - Brakpan,"-26.235777,28.364648",Voortrekker Rd,Voortrekker Rd,21-Jun-13,21-Jun-13,0,4,Labour related,Peaceful,0,5,"The crippling three-week bus drivers’ strike has affected thousands of commuters in various Ekurhuleni townships. The primary demand of the drivers of the Brakpan Bus Company that they should be fully administered by the Ekurhuleni Metro Council has not been met, a compromise has been reached.  It was agreed at a meeting earlier this week that the Council would be approached to take over the company.",79700097,63,142,80,518,31,33304,132,94,34634,0,270,2328,325,843,7656,9141,9984,9659,33341,12,8,90,905,69,8,34633,0,38,162,"3
(-26.235776, 28.364647)"
265,Gauteng - Ekurhuleni,1,0,Bedfordview,Cleveland,GP - Cleveland,"-26.203363,28.114812",Myrnog St,30th St,22-Jun-13,22-Jun-13,0,1,Crime related,Peaceful,0,5,"The Cleveland SAPS Youth Desk took to the streets to voice their concerns regarding crime in the area. The march was aimed at raising awareness of troubles faced by youth in the area including drug and alcohol abuse, teen pregnancy and education.",79800118,546,14,61,256,13,29130,45,10,30417,11,331,1391,206,874,7643,8160,9034,8828,29706,17,1,36,540,47,0,30416,11,27,31,"3
(-26.203363, 28.114812)"
258,KwaZulu Natal - eThekwini,1,0,Durban,KwaMashu Hostel,KZN - Kwa Mashu,"-29.740556,30.983044",M21,M21,23-Jun-13,23-Jun-13,0,3,Election related,Violent,1,5,The National Freedom Party’s campaign for by-election at KwaMashu Hostel was disrupted on when an armed mob fired shots into the air and marched on the hall where NFP president Zanele kaMagwaza-Msibi was addressing supporters.,59500046,349,308,167,154,5,27461,46,24,29459,0,945,2108,268,347,4628,6389,6736,6468,28789,75,0,142,294,41,9,29458,0,37,71,"6
(-29.740556, 30.983044)"
278,Eastern Cape - Buffalo City,0,0,East London,Buffalo city,EC - Buffalo Flats,"-33.016179,27.837079",Do not know,Do not know,23-Jun-13,23-Jun-13,0,9,Service delivery,Violent,1,5,Communities demanding the eradication of bucket toilets,29200010,1475,171,158,58,13,16177,1053,34,19182,0,43,942,557,585,3033,3390,3975,3418,18446,8,10,55,194,1,0,19182,0,10,458,"1
(-33.016179, 27.837078)"
347,North West - Rustenburg,0,1,Rustenburg,"Royal Bafokeng Nation (Chaneng, Robega, Rasimone and Mafenya villages)",NW - Rustenburg,"-25.456854,27.116002",Not applicable,Not applicable,23-Jun-13,23-Jun-13,0,9,Service delivery,Peaceful,0,5,"ANGRY community leaders in four North West villages under the Royal Bafokeng Nation’s jurisdiction protested this week against poor services and widespread unemployment among the youth. Now they not only demand “their” land back, but want a 30% stake in the mines which are said to employ labour from outside the villages.",63703001,245,38,23,32,91,1857,9947,2433,15821,16,1139,986,495,664,4312,4634,5298,4803,13097,6,15,161,169,2290,10,15821,16,4,53,"5
(-25.456854, 27.116002)"
244,Gauteng - City of Johannesburg,1,0,Johannesburg,Johannesburg,GP - Johannesburg Central,"-26.265669,28.026656",N12,N1 South,24-Jun-13,24-Jun-13,1,6,Transport related,Peaceful,0,5,Cosatu's drive slow against the implementation of e-tolling on Gauteng's high ways.,79800055,29,29,109,259,11,29119,2,10,29947,4,375,761,214,564,8302,8499,9063,8849,28938,6,3,225,520,42,9,29947,4,29,171,"3
(-26.265668, 28.026655)"
246,KwaZulu Natal - eThekwini,1,1,Durban,Cato Crest Ward 101,KZN - Cato Manor,"-29.795072,30.839894",King Cetshwayo Highway,King Cetshwayo  Highway,24-Jun-13,24-Jun-13,0,9,Service delivery,Violent,1,5,"Residents claimed that RDP houses in the area were being allocated to people who were not Cato Crest residents, and that ward committee members were selling these houses.",59500010,32,42,74,198,111,7420,398,58,22248,12,13903,1940,205,1768,6365,6537,8305,8100,21367,46,43,32,478,82,109,22249,12,25,55,"6
(-29.795072, 30.839894)"
255,KwaZulu Natal - eThekwini,1,0,Durban,Mayville,KZN - Mayville,"-29.844155,30.980447",Vusi Mzimele Road,Vusi Mzimele Road,24-Jun-13,24-Jun-13,0,9,Service delivery,Violent,1,5,"The police watched as the group, estimated to number about 700 people, went on the rampage, destroying public toilets, blocking the road, and stoning motorists and police cars in protest at alleged corruption in low-cost government housing.",59500030,96,1225,1264,172,538,30144,3122,610,37545,0,374,4120,2922,3164,7817,8773,11937,9015,33804,13,36,894,2025,82,4,37547,0,6,683,"6
(-29.844155, 30.980447)"
603,KwaZulu Natal - eThekwini,1,0,Umlazi,Umlazi,KZN - Umlazi,"-29.966237,30.882541",Glebelands Reunion Hostel,Don't know,24-Jun-13,24-Jun-13,0,9,Service delivery,Peaceful,0,5,200 disgruntled residents held a protest on Thursday complaining about service delivery.,59500085,227,124,426,159,1228,26296,2391,459,32110,0,800,854,275,367,6009,6496,6863,6588,30737,30,21,177,345,371,1,32109,0,22,405,"6
(-29.966237, 30.882541)"
245,KwaZulu Natal - eThekwini,1,0,Durban,Cato Crest Ward 30,KZN - Cato Manor,"-29.848475,30.979182",Vusi Mzimele (Bellair) Road,Vusi Mzimele (Bellair) Road,25-Jun-13,25-Jun-13,0,9,Service delivery,Violent,1,5,"Disgruntled Cato Crest residents in Ward 30 who want their ward councilor, Zanele Ndzoyiya, removed.",59500030,96,1225,1264,172,538,30144,3122,610,37545,0,374,4120,2922,3164,7817,8773,11937,9015,33804,13,36,894,2025,82,4,37547,0,6,683,"6
(-29.848475, 30.979182)"
253,Western Cape - City of Cape Town,1,0,Cape Town,Cape Town International Airport,WC - Cape Town Internat Airport,"-33.968673,18.594957",Aiport Approach Rd,Borcheds Quary Rd,25-Jun-13,25-Jun-13,0,9,Service delivery,Violent,1,5,The protests were linked to the apparent dissatisfaction by some communities over sanitation in informal settlements and rolling out PFTs.,19100024,1591,1306,588,127,18,23533,8,66,27730,0,493,1053,740,834,5033,5252,6086,5346,27019,4,4,69,473,27,9,27730,0,48,77,"9
(-33.968673, 18.594957)"
343,Gauteng - City of Johannesburg,1,0,Johannesburg,Selby,GP - Johannesburg Central,"-26.21545,28.027291",Vlak St,Vlak St,25-Jun-13,25-Jun-13,0,4,Labour related,Peaceful,0,5,"More than 120 workers at Document Warehouse in Selby, southern Johannesburg, have downed tools over poor salaries.  Their payslips show that some employees earn as little as R3,000 a month, while some of them claim to have been with the company for more than 10 years.  The company archives paperwork for government, Vodacom and SAB. ",79800124,523,179,229,262,5,41154,15,64,43066,13,622,1548,762,1495,14289,14342,15837,15075,40982,36,13,286,1538,55,17,43068,13,22,106,"3
(-26.21545, 28.027291)"
250,Eastern Cape - Nelson Mandela Bay,1,0,Port Elizabeth,"Korsten, Sidwell and Uitenhage",EC - Uitenhage,"-33.76279,25.421171",Graaf Reinet Rd,Graaf Reinet Rd,26-Jun-13,26-Jun-13,0,4,Labour related,Peaceful,0,5,About 30 staff members were striking because of salary gradings.,29300051,78,11,26,155,4,23795,16,14,24246,70,77,1445,73,665,6243,7023,7688,7615,23762,7,20,69,203,59,7,24244,70,27,20,"1
(-33.76279, 25.421171)"
252,Eastern Cape - Nelson Mandela Bay,1,0,Port Elizabeth,Feather Market hall,EC - Humewood,"-33.961984,25.623131",Baakens St,Baakens St,26-Jun-13,26-Jun-13,0,3,Election related,Peaceful,0,5,"A group of disgruntled Nelson Mandela Bay branch members protested outside the city hall, accusing the party’s regional leaders of manipulating their branch meeting. The members of Ward 41, which is the ANC’s biggest branch in the Bay, claim the party’s Bay regional secretary Zandisile Qupe and Constituency Coordinator Fikile Desi held a meeting which did not have a quorum.",29300005,27,8,29,101,3,17971,0,1,18224,61,23,976,29,388,5859,6447,6835,6806,17903,4,10,20,161,19,4,18225,61,18,25,"1
(-33.961984, 25.623131)"
317,Limpopo - Vhembe,0,1,Makhado,Davhana,LP - Vuwani,"-23.20688,30.459537",R578,R578,26-Jun-13,26-Jun-13,0,9,Service delivery,Peaceful,0,5,Communities from the six villages in the Davhana area are up in arms against what they term corrupt and dictatorial rule by the local Davhana traditional council. One of the point of contention was when 32 people who are to work in one of the local forestry projects were employed without following the correct procedures,93404002,2031,13,399,4,21,72,6930,2036,11566,0,60,2586,199,2664,411,333,2997,2798,10628,0,12,340,114,329,7,11567,0,32,105,"8
(-23.20688, 30.459537)"
267,Gauteng - City of Johannesburg,1,0,Johannesburg,Klipspruit West,GP - Eldorado Park,"-26.289384,27.881249",Daisy Rd,Calendula St,27-Jun-13,27-Jun-13,0,1,Crime related,Peaceful,0,5,"As the world celebrated International Day Against Drug Abuse on Wednesday, residents of Klipspruit West in Eldorado Park and Gauteng Community Safety MEC Faith Mazibuko took to the streets of the township. The march was in memory of 28-year-old Tracey-Lee Martins, who was killed on April 27, allegedly by men she had grown up with who wanted a “quick drug fix”.",79800011,48,78,227,135,2,31428,9,37,33272,0,1308,652,89,101,8158,8709,8810,8721,32705,16,0,37,271,162,4,33273,0,23,55,"3
(-26.289383, 27.881249)"
345,KwaZulu Natal - eThekwini,1,0,Durban,"Durban, King Dinizulu statue",KZN - Durban Central,"-29.857493,31.028556",West street,West Street,27-Jun-13,27-Jun-13,0,1,Crime related,Peaceful,0,5,"Members of South African Democratic Teachers' Union (Sadtu) march in Durban against social ills such as rape and substance abuse.  The march also highlight the relationship between drug abuse, rape, teenage pregnancy and HIV/Aids prevalence.",59500028,405,9,17,182,249,20692,6,21,23171,0,1590,881,97,439,7860,8302,8741,8644,22291,8,149,78,487,24,20,23170,0,43,70,"6
(-29.857493, 31.028555)"
346,Limpopo - Polokwane,0,0,Polokwane,Polokwane,LP - Polokwane,"-23.900297,29.450636",Excelsior Street,Landros street,27-Jun-13,27-Jun-13,0,9,Service delivery,Peaceful,0,5,"Blind and partially sighted people took to the streets of Polokwane yesterday to protest against being overlooked for job opportunities and to highlight their plight.  Police were on hand to guide the group of about 150 marchers at the start of the march to Premier Cassel Mathale’s office.  The marchers demanded that the government offer them employment and accessibility-enhancing devices, including speech-enabled lifts with Braille buttons and specially designed steps.",93504023,213,15,85,160,26,17021,572,68,18969,15,794,1064,278,654,5689,6099,6753,6475,16254,5,30,72,383,2069,1,18969,15,23,117,"8
(-23.900296, 29.450635)"
251,Gauteng - City of Tshwane,1,0,Pretoria,"Pretoria, US Embassy",GP - Brooklyn,"-25.745919,28.222985",Pretorious St,Eastwood St,28-Jun-13,28-Jun-13,0,5,Political causes,Peaceful,0,5,"Activists from various groups marched to the US embassy in Pretoria on Friday, protesting against President Barack Obama.",79900092,186,12,225,117,5,28152,2,41,30439,1333,366,754,91,505,11751,12000,12505,12414,27703,4,10,104,1105,96,0,30438,1333,14,69,"3
(-25.745919, 28.222985)"
266,Gauteng - Ekurhuleni,1,0,Ekurhuleni,Germiston,GP - Germiston,"-26.21816,28.164508",Cross street,Rose street,28-Jun-13,28-Jun-13,0,4,Labour related,Peaceful,0,5,"Employees of a private security company, which does work for the Ekurhuleni Metro on a tender basis, protested on the premises of the service delivery centre.",79700093,321,8226,1229,85,1368,10265,1570,137,23827,15,611,8491,8118,8213,2986,3264,11477,3359,21473,47,324,23,911,96,36,23825,15,51,849,"3
(-26.21816, 28.164508)"
