,Name,Long,Lat,Category,Province,District,Subdistrict,Uses DATCOV19 surveillance online platform,Main Health care Services Offered,Size,Beds Usable,Beds Approved,Beds Surgical Usable,Beds Surgical Approved,Surgeons Qualified,Surgeons_unqualified,Theatres,Total number of beds,Total number of staff,Cluster,Webpage,Geo_subdivision,Is Vaccination site
145,Natalspruit Hospital,28.224311,-26.356928,District Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni South 1 Health sub-District,,"Family medicine, 24-hour casualty, medico-legal, obstetrics and gynaecological, mortuary, radiography and an eye, nose and throat clinic. The hospital also has six operating theatres and a mammography unit.",,800.0,,0.0,0.0,,0.0,8.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/natalspruit_thelle_mogoerane_hospital_volsloorus_johannesburg_gauteng_south_africa,ZA-GP,
146,Bertha Gxowa Hospital,28.16305,-26.2197,District Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni S1 Health Sub-District,,"Out Patients; 24 Hours Accident Emergency and Trauma ;  Four Theatres;  Family and Internal Medicine; Paediatrics including Prevention of Mother to child Transmission (PMTCT) and Integrated Management of Childhood illnesses (IMCI); Comprehensive Care  Management and Treatment of HIV/AIDS (CCMT);  TB Focal point; Male Medical Circumcision (MMC), HIV Counselling and Testing( HCT); Medico-legal services including Post exposure Prophylaxis (PEP); Surgery excluding Orthopaedics; Reproductive Health including Obstetrics and Gynaecology,  Ante Natal Care , and Cervical Screening; Allied Services and  Pharmacy.",,,,,,,,,300.0,,CMJAH,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/germiston_bertha_gxowa_hospital_germiston_johannesburg_gauteng_south_africa,ZA-GP,YES
147,Kopanong Hospital,27.93328,-26.614048,District Hospital,Gauteng,Sedibeng District Municipality,Emfuleni Local Municipality,," Casualty Unit,The Psychiatric Unit X-Ray Department",,248.0,,24.0,24.0,,8.0,2.0,248.0,,CHBAC,,ZA-GP,
148,Heidelberg Hospital,28.35131,-26.5036,District Hospital,Gauteng,Sedibeng District Municipality,Lesedi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,126.0,,23.0,23.0,,12.0,2.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/heidelberg_hospital_heidelberg_gauteng_south_africa,ZA-GP,
149,Carletonville Hospital,27.39446,-26.347,District Hospital,Gauteng,West Rand District Municipality,Merafong City Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,230.0,,50.0,50.0,,1.0,2.0,230.0,,CMJAH,,ZA-GP,YES
150,Dr Yusuf Dadoo Hospital,27.78386,-26.0996,District Hospital,Gauteng,West Rand District Municipality,Mogale City Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,245.0,,20.0,20.0,,2.0,1.0,,,,,ZA-GP,YES
151,Chris Hani Baragwanath Hospital,27.93799,-26.26,Tertiary Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D Health Sub-District,YES,Emergency department,,2639.0,,547.0,547.0,,127.0,30.0,2888.0,,CHBAC,https://www.chrishanibaragwanathhospital.co.za/,ZA-GP,YES
152,Charlotte Maxeke Hospital,28.04691,-26.174,Tertiary Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,"Nursing,Cardiology,Neurology,Pulmonology,Haemotology and Oncology,Dermatology,Gastro,Geriatrics
Family Health,Nephrology,Hepatology,Endocrinology,Department of Surgery,Otorhinolaryngology,Paediatric surgery
Urology,Trauma Unit,Plastic and Reconstructive surgery,Cardiothoracic surgery
Maxillo-facial and Oral surgery,Neurosurgery,Nuclear Medicine,Orthopaedics,Ophthalmology
Anaesthesia,Radiation Therapy, Paediatrics and Child Health, Radiology – Diagnostics,Obstetrics and Gynaecology,
 Psychiatry and Mental Health",,1066.0,,72.0,65.0,,34.0,34.0,1018.0,,CMJAH,,ZA-GP,YES
153,Dr George Mukhari Hospital,28.01216,-25.619,Tertiary Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 Health Sub-District,,"ICU,Cardio-Thoracic,Obstetrics and Gynaecology,Major Surgery and Trauma: Hepatobiliary, Gynae Oncology, Plastic Surgery, Emergency Theatre,Major Surgery and Trauma: Orthopaedics and Urology,Head and Neck: ENT, Ophthalmology,Neurosurgery,Paediatrics",,1236.0,,148.0,148.0,,24.0,17.0,,,DGMAH,,ZA-GP,
154,Steve Biko Academic Hospital,28.202561,-25.7295,Tertiary Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,"Out Patients Services, Cardiac Rehabilitation services, Dermatology Clinic,Diabetic Clinic,Diabetic Foot Clinic
Ear, Nose and Throat Clinic,Encopreses Clinic,Reproductive and Endocrine Unit,Epilepsy Clinic, Family Medicine Clinic
Family Planning Clinic,Feet Clinic,Gynae - Oncology Clinic,Gynecology Clinic,Hand Clinic,Hematology Clinic,Infertility Clinic,Internal medicine Clinic, Joint Replacement Clinic,Kidney Transplant Clinic,Knee Clinic,Lipid & Diabetic Clinic,Nephrology Clinic,Neurology Clinic
Neurosurgery Clinic,Osteoporoses Clinic and other services.",,780.0,,81.0,87.0,,27.0,18.0,,,SBAH,https://www.sbah.org.za/index.php/clinical-departments/29-clinical-depts/75-services-available-at-the-steve-biko-academic-hospital,ZA-GP,
155,"
Charles Hurwitz TB Hospital",27.94666,-26.2611,Specialised Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D Health Sub-District,,"In-patient treatment,  TB  related services,  anti-retroviral treatment plans and other services.",,,,,,,,,,,,,ZA-GP,
156,Tshepong TB Hospital,28.09372,-25.7638,Specialised Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,TB and related services,,,,,,,,,,,,,ZA-GP,
157,Kriel medical clinic,29.262925,-26.246156,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,,Relevant Private Facility services – visit their website for more details,,6.0,,6.0,,,,1.0,,,,,ZA-MP,
158,East Rand TB Hospital,28.41141,-26.188,Specialised Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 Health Sub-District,,TB and related services,,,,,,,,,,,,,ZA-GP,
159,Knights Chest Hospital,28.19389,-26.1933,Specialised Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni S1 Health Sub-District,,"Respiratory, TB  and chest related services",,,,,,,,,,,,,ZA-GP,
160,Sizwe Tropical Hospital,28.124964,-26.1374,Specialised Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,,Services for this public hospital could not be found at the time of recording this data.,,286.0,,,,,,,266.0,,CMJAH,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/sizwe_tropical_diseases_hospital_edenvale_johannesburg_gauteng_south_africa,ZA-GP,
161,Tshwane Rehab Hospital,28.200872,-25.734,Specialised Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,"Physical rehabilitation service for patients with stroke, spinal cord injuries, amputation, head injuries, and other rehabilitation services",,,,,,,,,,,,http://tshwanerehabhospital.co.za/,ZA-GP,
162,Cullinan Rehab Hospital,28.53852,-25.691,Specialised Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 5 Health Sub-District,,Services for this public hospital could not be found at the time of recording this data.,,298.0,,,,,,,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/cullinan_care_and_rehabilitation_centre_cullinan_gauteng_south_africa,ZA-GP,
163,Rahima Moosa Hospital,27.97329,-26.1882,Specialised Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,,Services in Paediatrics and Child caters for both in-patients (admissions) and out-patients,,310.0,,0.0,0.0,,0.0,5.0,338.0,,CMJAH,https://www.wits.ac.za/clinicalmed/departments/paediatrics/hospital-services/rahima-moosa-mother-and-child-hospital/,ZA-GP,
164,Edenvale Hospital,28.129419,-26.1283,Regional Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,,Services for this public hospital could not be found at the time of recording this data.,,230.0,,40.0,40.0,,2.0,3.0,230.0,,CMJAH,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/edenvale_general_hospital_edenvale_johannesburg_gauteng_south_africa,ZA-GP,
165,Mamelodi Hospital,28.36788,-25.7186,Regional Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 6 Health Sub-District,,"Anaesthesia, Paediatrics and Obstetrics. Nursing also produced diploma in Operating theatre technique,paeditrics,critical care, trauma and advanced midwifery",,356.0,,32.0,32.0,,6.0,6.0,,,,,ZA-GP,
166,Pholosong Hospital,28.37705,-26.3398,Regional Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni E1 Health Sub-District,,"Paediatric, Obstetrics and Gynaecology services, HIV, TB and STI treatment and Antenatal care.",,483.0,,36.0,36.0,,7.0,3.0,483.0,,CMJAH,,ZA-GP,
167,Far East Rand Hospital,28.40367,-26.2354,Regional Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni E2 Health Sub-District,,"24 Hour Casualty, Out-Patients, X-Ray Services, Physio, Maternity, 24 Hour Theatre Service, Medical, General Surgical Services, Paediatrics, Gateway Clinic, Medico-Legal Services, Osizweni Clinic, Folang Wound Clinic, Social Work Services,ICU-4beds(Adults and Paeds), Male and Female Orthopaedic Wards, Speech and Audiology, Dietetics Services, Clinical Psychologists, Podiatry Services, Neonatal ICU, Occupational Therapy, Kangaroo Mother Care Unit, Antenatal Clinic.",,345.0,,89.0,89.0,,8.0,6.0,387.0,,CMJAH,,ZA-GP,
168,Tambo Memorial Hospital,28.24449,-26.2184,Regional Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N2 Health Sub-District,YES,Internal MedicineSurgeryOrthopaedics Obstetrics & GynaecologyPaediatrics Family MedicineOphthalmologyOptometry ENTPharmacy Emthonjeni Clinic (ARV)Stoma ClinicWound ClinicPrem ClinicDermatology Antenatal ClinicPost Natal Clinic,,518.0,,86.0,86.0,,8.0,6.0,258.0,,CMJAH,,ZA-GP,
169,Thelle Mogoerane Regional Hospital,28.224311,-26.3569,Regional Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni S1 Health Sub-District,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,821.0,,CHBAC,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/natalspruit_thelle_mogoerane_hospital_volsloorus_johannesburg_gauteng_south_africa,ZA-GP,
170,Sebokeng Hospital,27.84622,-26.6061,Regional Hospital,Gauteng,Sedibeng District Municipality,Emfuleni Local Municipality,,"Wellness Centre,  HIV, Aids, Sexual Transmitted Infections and TB treatments, Male Medical Circumcision services and other services",,745.0,,188.0,188.0,,10.0,11.0,800.0,,CHBAC,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/sebokeng_hospital_sebokeng_gauteng_south_africa,ZA-GP,YES
171,Leratong Hospital,27.80774,-26.1713,Regional Hospital,Gauteng,West Rand District Municipality,Mogale City Local Municipality,YES,"HIV/Aids, TB and Trauma ,Emergency services and other services",,813.0,,126.0,126.0,,13.0,8.0,855.0,,CHBAC,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/leratong_hospital_krugersdorp_johannesburg_gauteng_south_africa,ZA-GP,YES
172,Helen Joseph Hospital,27.9901,-26.1839,Tertiary Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,"HIV, Aids , Tuberculosis treatments ,  Stoma unit, Renal Dialysis Unit, Pain Clinic, Endoscopy Unit, Breast Clinic, Medical services, Surgical servcives,Orthopedic services, Psychiatric services, ICU  and a high-care services.",,576.0,,120.0,120.0,,9.0,9.0,,,,,ZA-GP,
173,Kalafong Hospital,28.08948,-25.7627,Tertiary Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,Training institution for the Faculty of Health Sciences at the University of Pretoria and provides other services.,,756.0,,371.0,371.0,,11.0,11.0,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/kalafong_hospital_atteridgeville_pretoria_gauteng_south_africa,ZA-GP,
174,Tembisa Hospital,28.23756,-25.9828,Tertiary Hospital,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni N1 Health Sub-District,,Services for this public hospital could not be found at the time of recording this data.,,836.0,,120.0,120.0,,7.0,11.0,,,,,ZA-GP,
175,Tara H Moross Centre Hospital,28.036464,-26.1087,Specialised Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,,Services for this public hospital could not be found at the time of recording this data.,,141.0,,,,,,,141.0,,CMJAH,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/tara_hospital_the_h_moross_centre_hurlingham_sandton_johannesburg_gauteng_south_africa,ZA-GP,
176,Weskoppies Hospital,28.16057,-25.7638,Specialised Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,Mental Health and  Neuropsychiatric Disorders and related services,,,,,,,,,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_gauteng_south_africa/weskoppies_hospital_pretoria_west_gauteng_south_africa,ZA-GP,
177,Sterkfontein Hospital,27.747403,-26.0581,Specialised Hospital,Gauteng,West Rand District Municipality,Mogale City Local Municipality,,Mental Health and  Neuropsychiatric Disorders and related services,,,,,,,,,673.0,,CMJAH,,ZA-GP,
178,NHN Hibiscus Hospital,30.451701,-30.7415,Private Hospital,KwaZuluNatal,Ugu District Municipality,Ray Nkonyeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,103.0,,22.0,,,,2.0,,,,https://www.hibiscushospitals.co.za/,ZA-KZN,
179,NHN Lenmed La Verna Hospital,29.779646,-28.5554,Private Hospital,KwaZuluNatal,Uthukela District Municipality,Alfred Duma Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,105.0,,34.0,,,,3.0,149.0,,,https://www.lenmed.co.za/hospital/la-verna-private-hospital-lenmed/,ZA-KZN,
180,NHN Pongola Hospital,31.619102,-27.3771,Private Hospital,KwaZuluNatal,Zululand District Municipality,uPhongolo Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,28.0,,3.0,,,,1.0,,,,,ZA-KZN,
181,Niemeyer Memorial Hospital,30.0712,-27.6519,District Hospital,KwaZuluNatal,Amajuba District Municipality,Emadlangeni Local Municipality,,"Preventive, Promotive, Curative and Rehabilitation services. Gateway clinic, 1 satellite clinic and 3 mobile teams with 81 points. Casualty and Out-patient Department, Medical, Surgical, Pediatric, Maternity ward and Operating Theatre.
X-ray, Pharmacy, Laboratory, Dental Service, Crisis Centre, HAST and support services.",,52.0,,8.0,8.0,,0.0,1.0,,,,http://www.kznhealth.gov.za/niemeyerhospital.htm,ZA-KZN,
182,McCords Hospital,30.996943,-29.8382,Specialised Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"X-ray services, Psychology Services , Social work Services and other services",,,,,,,,,100.0,,,http://www.kznhealth.gov.za/McCord-hospital.htm,ZA-KZN,YES
183,Osindisweni Hospital,30.983202,-29.6082,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Medical Outpatient:Combined general medical, Paediatrics and gynaecology,Acute and chronic cases,Self Referrals,Clinic and GP referrals,Ambulance referrals,Acute and chronic admissions,24 hour service,Surgical Outpatients:Combined casualty and trauma,Orthopaedic procedures,Casualty theatre procedures,Acute and chronic admissionsSelf / clinic / GP / ambulance referrals,24 hour service. Outpatient Clinic:Antenatal routine,Antenatal high risk,Gynaecology,Family planning clinic,TB clinic,Hypertension clinic,Diabetes clinic,Well Baby clinic,Psychiatric clinic,Epilepsy clinic,Genetic clinic, Orthopaedic clinic,Inpatients,Acute and chronic care,Maternity and Nursery,Paediatric Ward,General Female Ward,Gynaecology Ward,General male ward,TB hospital,Maternity Service,24 hour labour ward,24 hour theatre service,Booked and clinic referrals.Laboratory:Comprehensive range of tests,After hour emergency service,Blood bank facility,Clinic referrals.Radiography:All routine x-rays,After hour emergency service,Obstetric ultrasound,Clinic referrals.Pharmacy:Routine medicines on level 1 ,Hospital Essential Drug List.After hour emergency service.Physiotherapy:Physiotherapist is available five days a week.Inpatients and outpatients:Social Welfare,Full time social worker,Wide range of services.Inpatients and Outpatients.Additional Services:Disability grant applications,Motor vehicle accident claims,Workmen compensation cases,Medicals for employments,Medicals for insurance,Medico-legal cases,Assistance to schools and non-government organisations.Free Services:Children under 6 years old,Pregnant patients,Family Planning",,240.0,,42.0,42.0,,1.0,1.0,,,,http://www.kznhealth.gov.za/osindiswenihospital.htm,ZA-KZN,YES
184,St Mary's Hospital (Mar),30.826015,-29.8469,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,Family Medicine and Primary health care  Rehabilitation  Surgery  Obstetrics  Paediatrics Psychiatry  Eye care as well as Geriatrics.,,200.0,,30.0,30.0,,13.0,1.0,,,,http://www.kznhealth.gov.za/stmaryshospital.htm,ZA-KZN,
185,Wentworth Hospital Hospital,30.989162,-29.9329,District Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini MM Sub,,"Accident and Emergency Services,Dietetics department,Family Medicine,Medical Library,Occupational Therapy,Physiotherapy,Psychiatric Services,Psychology,Social Work",,266.0,,32.0,32.0,,0.0,1.0,,,,http://www.kznhealth.gov.za/wentworthhospital.htm,ZA-KZN,YES
186,St Apollinaris Hospital,29.72575,-30.0165,District Hospital,KwaZuluNatal,Harry Gwala District Municipality,Dr N Dlamini Zuma Local Municipality,,"Ante-natal clinic,Dental clinic,HCT and PMTCT,Maternity,Medical,MMC,Occupational Therapy,
Physiotherapy,Paediatrics,Primary Health Care,Neonatal
, School health Services,Social Work,Surgical,X-rays,TB Laboratory",,146.0,,18.0,18.0,,0.0,2.0,155.0,,,http://www.kznhealth.gov.za/stapollinarishospital.htm,ZA-KZN,
187,East Griqualand and Usher Memorial Hospital,29.415438,-30.5458,District Hospital,KwaZuluNatal,Harry Gwala District Municipality,Gr Kokstad Local Municipality,,"Accident /  trauma and emergency care services,Antenatal and Postnatal care services,ARV treatment, management and care,Central Sterilization Services,Chronic Services,Community Base Group Support,Dental Services,Eye care services,Family Planning,General Medical Services,General Surgical Services,
Immunizations,Internal Home Affairs facilities,Male Medical,Circumcision,Mental Health Services,Minor Ailments
Nutrition Services,Obstetrics and Gynaecological care,Paediatric care services,Pap smear,PHC services(Gateway),Pharmaceutical Services,Physiotherapy services,PMTCT,Psychological services (sessional),Radiological services,SASSA facilities,Screening : HCT and PICT,Social Work Services,Stoma Care,TB Management,Theatre,
Trauma and crisis counselling services,Ultrasound",,185.0,,32.0,32.0,,1.0,2.0,222.0,,,http://www.kznhealth.gov.za/egusherhospital.htm,ZA-KZN,YES
188,Christ the King Hospital,30.077931,-30.1627,District Hospital,KwaZuluNatal,Harry Gwala District Municipality,Ubuhlebezwe Local Municipality,,"Laboratory,Radiography,Ultrasound,Nutritional Services,Rehabilitation Department, Dental clinic,Psychiatric clinic, ARV clinic ,Theatre Procedures , Flying Doctor Service, Information for Community Service Officers, Dental services, Psychology and Councelling Services, Psychiatric clinic",,197.0,,36.0,36.0,,6.0,3.0,,,,http://www.kznhealth.gov.za/christthekinghospital.htm,ZA-KZN,
189,Rietvlei Hospital,29.82481,-30.4878,District Hospital,KwaZuluNatal,Harry Gwala District Municipality,uMzimkhulu Local Municipality,,"Clinical services:24 hour casualty and emergency services,Emergency operating theatre,Laboratory,Maternity Services,Medical In-patient,Paediatric servicesSurgical In-patient
X-ray services, Daily services:ARV,Cancer screening,Casualty,Crisis intervention,Dentistry,Dietetic services,Eye care,Nursing education,Occupational therapy,Outpatients
Pharmaceutical services,Physiotherapy,PMTCT,Social work,Speech and audio,TB-Ultrasound,VCT and counselling services",,188.0,,68.0,68.0,,0.0,2.0,,,,http://www.kznhealth.gov.za/rietvleihospital.htm,ZA-KZN,
190,Umphumulo Hospital,31.04259,-29.1425,District Hospital,KwaZuluNatal,iLembe District Municipality,Maphumulo Local Municipality,,"ARV Literacy classes and drugs,Child health care,Eye Clinic,Outpatient Department ( 24 hours ),Medical ( 24 hours ),Surgical ( 24 hours ),Maternity ( 24 hours ),Labour ward ( 24 hours ),Male medical ward, Female medical ward,TB ward ( female ),Obstetric ( 24 hours ),Reproductive health ( 24 hours ),Dental services,X-ray,Psychiatric Clinic,Social Work Services,Physiotherapy services,TB & TB Tracing team, STI infections,HCT,P.M.T.C.T,Primary Health Care,School Health,Pharmaceutical Services,Laboratory Services,Crisis Centre,Dietetics Department,Operating Theatres",,141.0,,16.0,16.0,,0.0,1.0,,,,http://www.kznhealth.gov.za/umphumulohospital.htm,ZA-KZN,YES
191,Untunjambili Hospital,30.94846,-28.942,District Hospital,KwaZuluNatal,iLembe District Municipality,Maphumulo Local Municipality,,"General Medical,General Surgical,Infectious Cases,Maternity,Medical Laboratory Services,Theatres,Orthopaedics,Psychiatric,Tuberculosis,X-ray,Social Worker,Physiotherapy,Dental facilities,Pharmacy,VCT (Voluntary counseling & Testing),Primary Health Care,School Health,Out Patient Department,PMTCT,Eye care clinic",,130.0,12.0,1.0,,,,,,,,http://www.kznhealth.gov.za/untunjambilihospital.htm,ZA-KZN,
192,Montebello Hospital,30.807162,-29.4394,District Hospital,KwaZuluNatal,iLembe District Municipality,Ndwedwe Local Municipality,,"Trauma and emergency–24 hour service,Internal medicine, surgery, orthopaedics and mental health,Obstetrics and Gynaecology (O & G),Paediatrics and Neonatology, Dental/Oral health services,Pharmacy services,Medical social work,Dietetics,Speech therapy,Physiotherapy,Occupational therapy,Clinical support services – radiography and laboratory,Primary health care – outreach visits to clinics, HCT and TB and MBFHI,Male medical circumcision(MMC),Operational theatre (OT),Occupational health (OH),Mortuary Services,Termination of pregnancy (outsourced)",,111.0,,7.0,7.0,,4.0,1.0,,,,http://www.kznhealth.gov.za/Montebello/Services.htm,ZA-KZN,YES
193,KwaMagwaza Hospital,31.34105,-28.6293,District Hospital,KwaZuluNatal,King Cetshwayo District Municipality,Mthonjaneni Local Municipality,,"Acute and chronic care,Child & Women's Health,Clinical psychology,Communicable disease management,Counselling,Dental,Environmental health,Eye care,Forensic-Medical,HIV and Aids management,Maternal Medical,Orthopaedics,Pharmaceutical,Physiotherapy and occupational therapy,Primary/community health care , Psychiatric,Social Work,Surgical,Trauma and emergency care,X-Ray & Ultrasonography,VCT",,147.0,,14.0,14.0,,5.0,1.0,,,,http://www.kznhealth.gov.za/kwaMagwazahospital.htm,ZA-KZN,
194,Ekhombe Hospital,30.893212,-28.6413,District Hospital,KwaZuluNatal,King Cetshwayo District Municipality,Nkandla Local Municipality,,"Antenatal, post natal and under 5 ,Clinic,Chronic diseases,Communicable disease,Crisis Centre,Diagnostic Services,Emergency service,Eye care service,Injuries,Injuries
Maternal, child and women's health,Minor ailments,Pharmaceutical Services,Psychiatric Community Services,Referral system,Reproductive health services,STD, HIV and AIDS care,TB / OPD,Ultrasound,VCT,X-ray",,120.0,,4.0,4.0,,0.0,1.0,,,,http://www.kznhealth.gov.za/ekombehospital.htm,ZA-KZN,
195,Nkandla Hospital,31.086834,-28.6245,District Hospital,KwaZuluNatal,King Cetshwayo District Municipality,Nkandla Local Municipality,,"ARV Clinic,Crisis Center,Counseling and Voluntary Testing,Dental and Eye Clinic,EAP,General Medical,General OPD,General Surgical,Infection Control,Mobile Clinics and School Health Services,Nursing Training School,Obstetric and Gynecology,Occupational, health,Orthopedic,Paediatrics,Primary Health Care (PHC Wing),PMCT and VCT,Psychiatric,Theatres,Tuberculosis,X-Rays",,175.0,,17.0,17.0,,0.0,1.0,,,,http://www.kznhealth.gov.za/nkandlahospital.htm,ZA-KZN,YES
196,Catherine Booth Hospital,31.474714,-28.9976,District Hospital,KwaZuluNatal,King Cetshwayo District Municipality,uMlalazi Local Municipality,,"ART Programme for Adults & Paediatrics,ARTClinic for Paediatrics,Audiology,Cervical Screening,Crisis Care Centre & Forensic,Diagnostic Imaging Service,Dietetics,Eye Clinic,
Family planning and other general out patients services.",,167.0,,20.0,20.0,,0.0,1.0,170.0,,,http://www.kznhealth.gov.za/catherineboothhospital.htm,ZA-KZN,
197,Eshowe Hospital,31.466456,-28.891,District Hospital,KwaZuluNatal,King Cetshwayo District Municipality,uMlalazi Local Municipality,,"Anesthetics,Antiretroviral roll-out programme (ARV),Blood bank,Casualty,Crisis care for adult and child abuse,Dental services,Dietetics,Laboratory,Mental health services,Obstetrics and Gynaecology,OPD services,Occupational health,Optometry,Psychology,Physiotherapy,Primary Health Care Services - 2 fixed clinics and 51 mobile service points,Prevention of mother to child transmission, (PMCT),Radiology,Pharmacy,Social Welfare,Theatre,Voluntary counselling testing (VCT)",,408.0,,95.0,95.0,,8.0,3.0,,,,http://www.kznhealth.gov.za/eshowehospital.htm,ZA-KZN,YES
198,Mbongolwane Hospital,31.195414,-28.9354,District Hospital,KwaZuluNatal,King Cetshwayo District Municipality,uMlalazi Local Municipality,,"24 Hour outpatient department,Acute/minor and Chronic Care,Counselling,HCT,Laboratory services,Maternal Child & womens health,Eye clinic,Male Medical Circumcision ,Orthopaedics ,Pharmaceutical,Psychiatric,Theatre,T.B clinic,X ray ",,162.0,,19.0,19.0,,2.0,1.0,,,,http://www.kznhealth.gov.za/mbongolwanehospital.htm,ZA-KZN,
199,Murchison Hospital,30.344023,-30.728,District Hospital,KwaZuluNatal,Ugu District Municipality,Ray Nkonyeni Local Municipality,,"24-hour in-patient service:Casualty/Emergencies,Diagnostic Radiography,General Medicine,Gynecology,Laboratory,Obstetrics,Orthopedics,Pediatrics 07h00 - 16h00 daily services:ARV Clinic, Audiologist, Crisis Centre, Dentistry,Dietician,General out Patients,Family Planning,Medical Social Work,MDR-TB, Optometry,Pharmacy, Psychiatry,Psychology, Physiotherapy, Speech therapy ",,300.0,,54.0,54.0,,5.0,2.0,,,,http://www.kznhealth.gov.za/murchisonhospital.htm,ZA-KZN,YES
