GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),NATIONALSYSTEMTYPE (CODE),NATIONALSYSTEMTYPE (DISPLAY),NATIONALSYSTEMTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
RSUD_13,"Substance use policy at the national level, level of integration",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZAF,South Africa,,,,,,,,,,,Alcohol and drugs,,,,,,
RSUD_12,Substance use policy at the national level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2508,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZAF,South Africa,,,,,,,,,,,yes,,,,,,
SA_0000001523,"Prices for alcoholic beverages (average, US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2317,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZAF,South Africa,,,,,,,,,,,2.02,,,,,,
SA_0000001523,"Prices for alcoholic beverages (average, US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2317,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZAF,South Africa,,,,,,,,,,,13.34,,,,,,
SA_0000001523,"Prices for alcoholic beverages (average, US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2317,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZAF,South Africa,,,,,,,,,,,22.75,,,,,,
SA_0000001523,"Prices for alcoholic beverages (average, US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2317,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZAF,South Africa,,,,,,,,,,,0.9,,,,,,
SA_0000001546,Excise tax as a per cent of the retail price of alcoholic beverages,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2347,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,35,,,,,,
SA_0000001546,Excise tax as a per cent of the retail price of alcoholic beverages,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2347,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,33,,,,,,
SA_0000001546,Excise tax as a per cent of the retail price of alcoholic beverages,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2347,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,48,,,,,,
SA_0000001548,Excise tax as a per cent of the total retail price for 1 litre of pure alcohol,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2348,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,ZAF,South Africa,,,,,,,,,,,23.9,,,,,,
SA_0000001417,"Alcohol, patterns of drinking score",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/461,,,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,,,,ZAF,South Africa,,,,,,,,,,,4- very risky,,,,,,
SA_0000001402,"Alcohol, estimate of five-year change in recorded per capita (15+) consumption 2006-2010",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/463,,,,PUBLISHED,Published,,2006-2010,2006-2010,,AFR,2006,2010,Africa,,,,,ZAF,South Africa,,,,,,,,,,,decrease,,,,,,
SA_0000001401,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,,,,PUBLISHED,Published,,2003-2005,2003-2005,,AFR,2003,2005,Africa,,,,,ZAF,South Africa,,,,,,,,,,,10.0,10.00000,,,,,
SA_0000001403,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/465,,,,PUBLISHED,Published,,2008-2010,2008-2010,,AFR,2008,2010,Africa,,,,,ZAF,South Africa,,MLE,Male,,,,,,,,18.4,18.40000,,,,,
SA_0000001403,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/465,,,,PUBLISHED,Published,,2008-2010,2008-2010,,AFR,2008,2010,Africa,,,,,ZAF,South Africa,,FMLE,Female,,,,,,,,4.2,4.20000,,,,,
SA_0000001403,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/465,,,,PUBLISHED,Published,,2008-2010,2008-2010,,AFR,2008,2010,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,11.0,11.00000,,,,,
SA_0000001406,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/466,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,ZAF,South Africa,,,,,,,,,,,2.5,2.50000,,,,,
SA_0000001406,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/466,,,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,,,,ZAF,South Africa,,,,,,,,,,,2.9,2.90000,,,,,
SA_0000001401,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,,,,PUBLISHED,Published,,2008-2010,2008-2010,,AFR,2008,2010,Africa,,,,,ZAF,South Africa,,,,,,,,,,,8.2,8.20000,,,,,
SA_0000001405,"Alcohol, tourist consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2322,,,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,,,,ZAF,South Africa,,,,,,,,,,,,,,,,,missing data
SA_0000001403,"Alcohol, total (recorded 3 year average + unrecorded) per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/465,,,,PUBLISHED,Published,,2003-2005,2003-2005,,AFR,2003,2005,Africa,,,,,ZAF,South Africa,,BTSX,Both sexes,,,,,,,,10.1,10.10000,,,,,
SA_0000001406,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/466,,,,PUBLISHED,Published,,2015,2015,,AFR,2015,2015,Africa,,,,,ZAF,South Africa,,,,,,,,,,,4.2,4.20000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1966,1966,,AFR,1966,1966,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,0.80,0.80000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1982,1982,,AFR,1982,1982,Africa,,,,,ZAF,South Africa,,,,,SA_OTHER_ALCOHOL,Other alcoholic beverages,,,,,1.89,1.89000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1975,1975,,AFR,1975,1975,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,2.16,2.16000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1995,1995,,AFR,1995,1995,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,1.58,1.58000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1962,1962,,AFR,1962,1962,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,0.41,0.41000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1962,1962,,AFR,1962,1962,Africa,,,,,ZAF,South Africa,,,,,SA_OTHER_ALCOHOL,Other alcoholic beverages,,,,,1.11,1.11000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1979,1979,,AFR,1979,1979,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,1.74,1.74000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1971,1971,,AFR,1971,1971,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,2.36,2.36000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1991,1991,,AFR,1991,1991,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,1.60,1.60000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1988,1988,,AFR,1988,1988,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,1.81,1.81000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1974,1974,,AFR,1974,1974,Africa,,,,,ZAF,South Africa,,,,,SA_OTHER_ALCOHOL,Other alcoholic beverages,,,,,2.49,2.49000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1988,1988,,AFR,1988,1988,Africa,,,,,ZAF,South Africa,,,,,SA_TOTAL,All types,,,,,9.22,9.22000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1997,1997,,AFR,1997,1997,Africa,,,,,ZAF,South Africa,,,,,SA_TOTAL,All types,,,,,10.77,10.77000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1968,1968,,AFR,1968,1968,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,2.00,2.00000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1974,1974,,AFR,1974,1974,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,1.55,1.55000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1981,1981,,AFR,1981,1981,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,2.75,2.75000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1990,1990,,AFR,1990,1990,Africa,,,,,ZAF,South Africa,,,,,SA_OTHER_ALCOHOL,Other alcoholic beverages,,,,,1.56,1.56000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1964,1964,,AFR,1964,1964,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,1.72,1.72000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1984,1984,,AFR,1984,1984,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,1.96,1.96000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1986,1986,,AFR,1986,1986,Africa,,,,,ZAF,South Africa,,,,,SA_OTHER_ALCOHOL,Other alcoholic beverages,,,,,1.74,1.74000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1983,1983,,AFR,1983,1983,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,1.68,1.68000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1978,1978,,AFR,1978,1978,Africa,,,,,ZAF,South Africa,,,,,SA_OTHER_ALCOHOL,Other alcoholic beverages,,,,,2.28,2.28000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1992,1992,,AFR,1992,1992,Africa,,,,,ZAF,South Africa,,,,,SA_TOTAL,All types,,,,,9.13,9.13000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1978,1978,,AFR,1978,1978,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,1.82,1.82000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,1.53,1.53000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1970,1970,,AFR,1970,1970,Africa,,,,,ZAF,South Africa,,,,,SA_OTHER_ALCOHOL,Other alcoholic beverages,,,,,2.06,2.06000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1985,1985,,AFR,1985,1985,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,3.15,3.15000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1968,1968,,AFR,1968,1968,Africa,,,,,ZAF,South Africa,,,,,SA_TOTAL,All types,,,,,6.91,6.91000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1994,1994,,AFR,1994,1994,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,1.50,1.50000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1987,1987,,AFR,1987,1987,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,1.84,1.84000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1970,1970,,AFR,1970,1970,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,1.06,1.06000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1966,1966,,AFR,1966,1966,Africa,,,,,ZAF,South Africa,,,,,SA_OTHER_ALCOHOL,Other alcoholic beverages,,,,,2.07,2.07000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1998,1998,,AFR,1998,1998,Africa,,,,,ZAF,South Africa,,,,,SA_OTHER_ALCOHOL,Other alcoholic beverages,,,,,2.81,2.81000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1972,1972,,AFR,1972,1972,Africa,,,,,ZAF,South Africa,,,,,SA_TOTAL,All types,,,,,7.52,7.52000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1989,1989,,AFR,1989,1989,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,4.18,4.18000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1980,1980,,AFR,1980,1980,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,2.11,2.11000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1995,1995,,AFR,1995,1995,Africa,,,,,ZAF,South Africa,,,,,SA_TOTAL,All types,,,,,8.96,8.96000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1961,1961,,AFR,1961,1961,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,0.37,0.37000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1977,1977,,AFR,1977,1977,Africa,,,,,ZAF,South Africa,,,,,SA_OTHER_ALCOHOL,Other alcoholic beverages,,,,,2.22,2.22000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1964,1964,,AFR,1964,1964,Africa,,,,,ZAF,South Africa,,,,,SA_TOTAL,All types,,,,,5.87,5.87000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1998,1998,,AFR,1998,1998,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,4.83,4.83000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1992,1992,,AFR,1992,1992,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,1.60,1.60000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1977,1977,,AFR,1977,1977,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,1.60,1.60000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1972,1972,,AFR,1972,1972,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,1.76,1.76000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1967,1967,,AFR,1967,1967,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,1.93,1.93000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1980,1980,,AFR,1980,1980,Africa,,,,,ZAF,South Africa,,,,,SA_TOTAL,All types,,,,,8.60,8.60000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1993,1993,,AFR,1993,1993,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,4.32,4.32000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1976,1976,,AFR,1976,1976,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,1.99,1.99000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1963,1963,,AFR,1963,1963,Africa,,,,,ZAF,South Africa,,,,,SA_WINE,Wine,,,,,1.61,1.61000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1969,1969,,AFR,1969,1969,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,0.95,0.95000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,,,,ZAF,South Africa,,,,,SA_SPIRITS,Spirits,,,,,1.76,1.76000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1975,1975,,AFR,1975,1975,Africa,,,,,ZAF,South Africa,,,,,SA_TOTAL,All types,,,,,8.37,8.37000,,,,,
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462,GISAHZAF,(WDT) 1961-1999;  (SAWIS) 2000-2018,,PUBLISHED,Published,,1997,1997,,AFR,1997,1997,Africa,,,,,ZAF,South Africa,,,,,SA_BEER,Beer,,,,,4.92,4.92000,,,,,
